kind,slug,name,location,setCount,needs,imageUrl,website,instagram,youtube,soundcloud,twitter
dj,loofy,LOOFY,United States,5,website|instagram|youtube|twitter,https://cdn-images.dzcdn.net/images/artist/8b6acb010dd58497f9cc594fbdf46dc2/250x250-000000-80-0-0.jpg,Not found,Not found,Not found,https://soundcloud.com/loofy-644934783,Not found
dj,third-party,Third Party,"London, UK",5,website,https://cdn-images.dzcdn.net/images/artist/8c2bc22d317f251efbfd2379d1564349/250x250-000000-80-0-0.jpg,Not found,https://instagram.com/thirdpartylive,https://www.youtube.com/@thirdpartychannel,https://soundcloud.com/thirdpartymusic,https://x.com/thirdpartylive
dj,fantasm,Fantasm,"Los Angeles, USA and based in Lyon, France",4,website|twitter,https://cdn-images.dzcdn.net/images/artist/b20e5ff207a74921a017cee6956057d9/250x250-000000-80-0-0.jpg,Not found,https://www.instagram.com/fantasm_techno/,https://www.youtube.com/@fantasm_techno,https://soundcloud.com/kenzo-meservey,Not found
dj,kyle-starkey,Kyle Starkey,"Liverpool, UK",4,website|instagram|twitter,https://cdn-images.dzcdn.net/images/artist/0a1fec985091fae9b0e7077f95865c74/250x250-000000-80-0-0.jpg,Not found,Not found,https://www.youtube.com/@kylestarkey4319,https://soundcloud.com/kyle_starkey43,Not found
dj,noizu,Noizu,"Los Angeles, US",4,website|instagram,https://cdn-images.dzcdn.net/images/artist/1129a6acbcb761540648a895178014b7/250x250-000000-80-0-0.jpg,Not found,Not found,https://www.youtube.com/@NoizuSound,https://soundcloud.com/noizusound,https://x.com/noizu
dj,rossi,Rossi.,"London, UK",4,website|instagram|soundcloud|twitter,https://cdn-images.dzcdn.net/images/artist/ae28f7a1f663122812957fc3691f9a33/250x250-000000-80-0-0.jpg,Not found,Not found,https://www.youtube.com/@rossi4524,Not found,Not found
dj,space-92,Space 92,"Toulouse, France",4,website|twitter,https://cdn-images.dzcdn.net/images/artist/93e4c86180465f67e82701674c832d3d/250x250-000000-80-0-0.jpg,https://space92.komi.io/,https://instagram.com/space92__official,https://www.youtube.com/@space92music,https://soundcloud.com/space92,Not found
dj,the-shapeshifters,The Shapeshifters,"London, UK",4,website|instagram|twitter,https://cdn-images.dzcdn.net/images/artist/a2854211258dadd367c014cfedaedc8b/250x250-000000-80-0-0.jpg,Not found,Not found,https://www.youtube.com/@TheShapeshifters,https://soundcloud.com/theshapeshifters,Not found
dj,tripolism,Tripolism,"Copenhagen, Denmark",4,website|instagram|twitter,https://cdn-images.dzcdn.net/images/artist/315cb4e3c513169743a0771cb447e6b6/250x250-000000-80-0-0.jpg,Not found,Not found,https://www.youtube.com/@tripolism,https://soundcloud.com/tripolism,Not found
dj,yotto-s-odd-world,Yotto's Odd World,"Helsinki, Finland",4,website|instagram|youtube|twitter,https://i1.sndcdn.com/avatars-6320TVCCiJ3v8rRx-iz2Kdg-t500x500.jpg,Not found,Not found,Not found,https://soundcloud.com/yotto,Not found
